GeoCode,Country,Indicator,Year,Value,Unit
AS,American Samoa,Sea Surface Temperature anomalies,1988,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1989,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1990,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1991,0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1992,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1993,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1994,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1995,0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1996,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1997,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1998,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1999,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2000,0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2001,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2002,0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2003,0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2004,0.6,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2005,0.6,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2006,0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2007,0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2008,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2009,0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2010,0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2011,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2012,0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2013,0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2014,0.6,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2015,0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2016,0.6,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2017,0.7,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2018,0.6,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2019,0.7,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2020,0.7,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2021,0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2022,0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2023,0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2024,0.7,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,2025,0.5,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1850,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1851,0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1852,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1853,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1854,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1855,-0.4,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1856,-0.3,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1857,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1858,-0.5,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1859,0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1860,-0.3,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1861,-0.8,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1862,-0.4,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1863,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1864,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1865,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1866,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1867,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1868,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1869,0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1870,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1871,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1872,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1873,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1874,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1875,-0.3,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1876,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1877,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1878,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1879,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1880,-0.4,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1881,0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1882,0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1883,-0.4,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1884,-0.6,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1885,-0.6,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1886,-0.3,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1887,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1888,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1889,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1890,0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1891,0.3,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1892,0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1893,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1894,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1895,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1896,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1897,0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1898,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1899,-0.3,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1900,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1901,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1902,-0.5,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1903,-0.5,Celsius (°C)
